Unnamed: 0,id,construction,original,D_full,D_both,P_full,theme_in_context,recipient_in_context,P_both,logprob_D_full,logprob_P_full,logprob_D_both,logprob_P_both,logprob_theme_in_context,logprob_recipient_in_context
473,dat-0482,D," I keep saying professor because of university, I give him the sheet, and he 's like, ""Oh, you 're play"," I keep saying professor because of university, I give him the sheet, and he 's like, ""Oh, you 're play"," I keep saying professor because of university, I give him the sheet"," I keep saying professor because of university, I give the sheet to him, and he 's like, ""Oh, you 're play"," I keep saying professor because of university, I give the sheet"," I keep saying professor because of university, I give him"," I keep saying professor because of university, I give the sheet to him",-133.30945844,-136.03151746499998,-95.7641744,-98.27455560000001,-92.78260099999999,-83.4065096
474,dat-0483,D, urage them to have lots of kids. Like they used to give them tax incentives because they were worried th, urage them to have lots of kids. Like they used to give them tax incentives because they were worried th, urage them to have lots of kids. Like they used to give them tax incentives, urage them to have lots of kids. Like they used to give tax incentives to them because they were worried th, urage them to have lots of kids. Like they used to give tax incentives, urage them to have lots of kids. Like they used to give them, urage them to have lots of kids. Like they used to give tax incentives to them,-111.71043226699999,-117.934486647,-90.784304362,-98.036231691,-89.41871229300001,-84.31571861
475,dat-0484,D," rinting date. And we 're like, ""No really. When we give you a deadline, we actually mean it."" So we 'd g"," rinting date. And we 're like, ""No really. When we give you a deadline, we actually mean it."" So we 'd g"," rinting date. And we 're like, ""No really. When we give you a deadline"," rinting date. And we 're like, ""No really. When we give a deadline to you, we actually mean it."" So we 'd g"," rinting date. And we 're like, ""No really. When we give a deadline"," rinting date. And we 're like, ""No really. When we give you"," rinting date. And we 're like, ""No really. When we give a deadline to you",-137.61718496000003,-145.36947084999997,-112.06265710999996,-119.95194485,-113.89728929999998,-107.34085564
476,dat-0485,D," glad I, I took those two-years but um, because it gave me a chance to explore all the different worlds"," glad I, I took those two-years but um, because it gave me a chance to explore all the different worlds"," glad I, I took those two-years but um, because it gave me a chance"," glad I, I took those two-years but um, because it gave a chance to me to explore all the different worlds"," glad I, I took those two-years but um, because it gave a chance"," glad I, I took those two-years but um, because it gave me"," glad I, I took those two-years but um, because it gave a chance to me",-110.09476117999998,-120.61565274999998,-92.10310527500002,-102.56424760000002,-98.06013779999999,-89.4429737
477,dat-0486,D," ke ""Go here, talk to this person"", and they would give you that in. So, I-mean, I- I interviewed for di"," ke ""Go here, talk to this person"", and they would give you that in. So, I-mean, I- I interviewed for di"," ke ""Go here, talk to this person"", and they would give you that in"," ke ""Go here, talk to this person"", and they would give that in to you. So, I-mean, I- I interviewed for di"," ke ""Go here, talk to this person"", and they would give that in"," ke ""Go here, talk to this person"", and they would give you"," ke ""Go here, talk to this person"", and they would give that in to you",-152.846356985,-155.766960765,-90.58820359999999,-99.88216435000001,-92.10762004600001,-80.99840272
478,dat-0487,D," , I think it sort-of gives you more, in-a-way- it gives you more leeway to depart from the curriculum and"," , I think it sort-of gives you more, in-a-way- it gives you more leeway to depart from the curriculum and"," , I think it sort-of gives you more, in-a-way- it gives you more leeway"," , I think it sort-of gives you more, in-a-way- it gives more leeway to you to depart from the curriculum and"," , I think it sort-of gives you more, in-a-way- it gives more leeway"," , I think it sort-of gives you more, in-a-way- it gives you"," , I think it sort-of gives you more, in-a-way- it gives more leeway to you",-129.37325417,-141.06289398599998,-106.03855209399998,-117.00860236799998,-111.12918141300001,-100.66776782199996
479,dat-0488,D," give me a pen."" and he goes, ""it 's not my job to give you a pen"" right? So he 's going to loose his pl"," give me a pen."" and he goes, ""it 's not my job to give you a pen"" right? So he 's going to loose his pl"," give me a pen."" and he goes, ""it 's not my job to give you a pen"," give me a pen."" and he goes, ""it 's not my job to give a pen to you"" right? So he 's going to loose his pl"," give me a pen."" and he goes, ""it 's not my job to give a pen"," give me a pen."" and he goes, ""it 's not my job to give you"," give me a pen."" and he goes, ""it 's not my job to give a pen to you",-126.97692472400004,-134.00748420999997,-81.76398605,-88.78180268599999,-86.517794314,-81.39449143600001
480,dat-0489,D, They have them and they just give them the go., They have them and they just give them the go., They have them and they just give them the go, They have them and they just give the go to them., They have them and they just give the go, They have them and they just give them, They have them and they just give the go to them,-64.65423704999999,-72.41028340000001,-60.91507850000001,-71.28307910000001,-62.41339060000001,-52.6840588
481,dat-0490,D," ] Shelley, why are you making a mess? I'm going to give you a cookie (inc) [020] the treats are there, y"," ] Shelley, why are you making a mess? I'm going to give you a cookie (inc) [020] the treats are there, y"," ] Shelley, why are you making a mess? I'm going to give you a cookie"," ] Shelley, why are you making a mess? I'm going to give a cookie to you (inc) [020] the treats are there, y"," ] Shelley, why are you making a mess? I'm going to give a cookie"," ] Shelley, why are you making a mess? I'm going to give you"," ] Shelley, why are you making a mess? I'm going to give a cookie to you",-154.73042128999995,-161.02300548000002,-82.78722526,-90.15851174999997,-86.03506610000001,-75.85697576999999
482,dat-0491,D," without any explanation what-so-ever. She didn 't give me any reason. Um, I- and that 's the honest tru"," without any explanation what-so-ever. She didn 't give me any reason. Um, I- and that 's the honest tru", without any explanation what-so-ever. She didn 't give me any reason," without any explanation what-so-ever. She didn 't give any reason to me. Um, I- and that 's the honest tru", without any explanation what-so-ever. She didn 't give any reason, without any explanation what-so-ever. She didn 't give me, without any explanation what-so-ever. She didn 't give any reason to me,-123.57511588299997,-128.545378221,-76.37401425500002,-81.37468633399997,-75.15944855849999,-73.45836414499999
483,dat-0492,D, r is- are the people you 're speaking to meant to give you that information? [7] The- the way you- [044], r is- are the people you 're speaking to meant to give you that information? [7] The- the way you- [044], r is- are the people you 're speaking to meant to give you that information, r is- are the people you 're speaking to meant to give that information to you? [7] The- the way you- [044], r is- are the people you 're speaking to meant to give that information, r is- are the people you 're speaking to meant to give you, r is- are the people you 're speaking to meant to give that information to you,-165.68425260999996,-167.65618812,-107.6961179,-109.95731906,-107.4508583,-101.36281101999998
484,dat-0493,D, omers. So you phoned them on certain days and they gave me the order. Wrote it out and warehouse shipped, omers. So you phoned them on certain days and they gave me the order. Wrote it out and warehouse shipped, omers. So you phoned them on certain days and they gave me the order, omers. So you phoned them on certain days and they gave the order to me. Wrote it out and warehouse shipped, omers. So you phoned them on certain days and they gave the order, omers. So you phoned them on certain days and they gave me, omers. So you phoned them on certain days and they gave the order to me,-144.275382,-151.24448127,-103.10613722999999,-107.17884783999997,-99.92566577000001,-95.95434333000001
485,dat-0494,D," it 's like regimented jail-like not just some guy giving me a check, like they took my social-insurance-n"," it 's like regimented jail-like not just some guy giving me a check, like they took my social-insurance-n", it 's like regimented jail-like not just some guy giving me a check," it 's like regimented jail-like not just some guy giving a check to me, like they took my social-insurance-n", it 's like regimented jail-like not just some guy giving a check, it 's like regimented jail-like not just some guy giving me, it 's like regimented jail-like not just some guy giving a check to me,-154.95280721600002,-161.81328854199998,-110.01720599999999,-116.65819305999999,-110.98462060000003,-103.2361292
486,dat-0495,D," ? [133] Yeah and I said ""Do you want mine?"" and I gave her my card and I 'm like ""Give me a call,"" and"," ? [133] Yeah and I said ""Do you want mine?"" and I gave her my card and I 'm like ""Give me a call,"" and"," ? [133] Yeah and I said ""Do you want mine?"" and I gave her my card"," ? [133] Yeah and I said ""Do you want mine?"" and I gave my card to her and I 'm like ""Give me a call,"" and"," ? [133] Yeah and I said ""Do you want mine?"" and I gave my card"," ? [133] Yeah and I said ""Do you want mine?"" and I gave her"," ? [133] Yeah and I said ""Do you want mine?"" and I gave my card to her",-126.64600601999999,-131.06428727,-97.07324103000002,-101.05945510000001,-98.35094801,-91.87335933999998
487,dat-0496,D, [10] It 's not really a big deal. [133] Can you give me some topics? [10] To talk about? [133] Yeah., [10] It 's not really a big deal. [133] Can you give me some topics? [10] To talk about? [133] Yeah., [10] It 's not really a big deal. [133] Can you give me some topics, [10] It 's not really a big deal. [133] Can you give some topics to me? [10] To talk about? [133] Yeah., [10] It 's not really a big deal. [133] Can you give some topics, [10] It 's not really a big deal. [133] Can you give me, [10] It 's not really a big deal. [133] Can you give some topics to me,-122.19650805669998,-130.04742244599998,-107.33302558000001,-116.13067709,-108.86084064400002,-95.30820208000002
488,dat-0498,D, ey rat you out and they get seriously upset if you give them bad sound but [10] Do they do it all the t, ey rat you out and they get seriously upset if you give them bad sound but [10] Do they do it all the t, ey rat you out and they get seriously upset if you give them bad sound, ey rat you out and they get seriously upset if you give bad sound to them but [10] Do they do it all the t, ey rat you out and they get seriously upset if you give bad sound, ey rat you out and they get seriously upset if you give them, ey rat you out and they get seriously upset if you give bad sound to them,-159.74422184000002,-163.64445145,-104.3471794,-111.52452949999999,-106.46185156,-90.42724666
489,dat-0499,D, deo and we provide them the audio. So then if you give them shitty audio you 're- you have like forty a, deo and we provide them the audio. So then if you give them shitty audio you 're- you have like forty a, deo and we provide them the audio. So then if you give them shitty audio, deo and we provide them the audio. So then if you give shitty audio to them you 're- you have like forty a, deo and we provide them the audio. So then if you give shitty audio, deo and we provide them the audio. So then if you give them, deo and we provide them the audio. So then if you give shitty audio to them,-157.66620283999998,-163.12113939999998,-107.66779418000002,-113.16576703999999,-108.45634905000001,-95.36201109999999
490,dat-0500,D," house you have to say hello and go downstairs and give him a hug, and-all-this, and- but, like, for me,"," house you have to say hello and go downstairs and give him a hug, and-all-this, and- but, like, for me,", house you have to say hello and go downstairs and give him a hug," house you have to say hello and go downstairs and give a hug to him, and-all-this, and- but, like, for me,", house you have to say hello and go downstairs and give a hug, house you have to say hello and go downstairs and give him, house you have to say hello and go downstairs and give a hug to him,-134.31426671,-141.54286988000004,-76.74886500000001,-83.7101345,-76.7633261,-74.18857100000001
491,dat-0501,D, ren though just to make sure that you don 't ever give them some weird. [12] It 's not something weird., ren though just to make sure that you don 't ever give them some weird. [12] It 's not something weird., ren though just to make sure that you don 't ever give them some weird, ren though just to make sure that you don 't ever give some weird to them. [12] It 's not something weird., ren though just to make sure that you don 't ever give some weird, ren though just to make sure that you don 't ever give them, ren though just to make sure that you don 't ever give some weird to them,-143.60715157000004,-147.51383725,-99.95265885000002,-108.64313785000002,-96.83023933999999,-89.37989020000002
494,dat-0504,D," cause he had worked down here, so he came down- I gave him the address. He came here, but I had to go u"," cause he had worked down here, so he came down- I gave him the address. He came here, but I had to go u"," cause he had worked down here, so he came down- I gave him the address"," cause he had worked down here, so he came down- I gave the address to him. He came here, but I had to go u"," cause he had worked down here, so he came down- I gave the address"," cause he had worked down here, so he came down- I gave him"," cause he had worked down here, so he came down- I gave the address to him",-123.79286902,-128.795468,-91.44900624,-96.51178529999999,-93.43011584999999,-85.99311013999998
495,dat-0505,D, everywhere he went somebody would give him a drink, everywhere he went somebody would give him a drink, everywhere he went somebody would give him a drink, everywhere he went somebody would give a drink to him, everywhere he went somebody would give a drink, everywhere he went somebody would give him, everywhere he went somebody would give a drink to him,-58.87644421400002,-66.67705155,-58.92023610999999,-66.72417269999998,-64.6271912,-53.335730070000004
496,dat-0506,D," cry, so he started crying. My mother came out and gave me the devil. (laughs) Um, let me see, what othe"," cry, so he started crying. My mother came out and gave me the devil. (laughs) Um, let me see, what othe"," cry, so he started crying. My mother came out and gave me the devil"," cry, so he started crying. My mother came out and gave the devil to me. (laughs) Um, let me see, what othe"," cry, so he started crying. My mother came out and gave the devil"," cry, so he started crying. My mother came out and gave me"," cry, so he started crying. My mother came out and gave the devil to me",-121.99960677999998,-128.45471235999997,-82.9054192,-88.6054277,-82.66258930000001,-73.7075113
497,dat-0507,D," he was- and she was also a darling. Ah, she would give you the devil for something and then at recess yo"," he was- and she was also a darling. Ah, she would give you the devil for something and then at recess yo"," he was- and she was also a darling. Ah, she would give you the devil"," he was- and she was also a darling. Ah, she would give the devil to you for something and then at recess yo"," he was- and she was also a darling. Ah, she would give the devil"," he was- and she was also a darling. Ah, she would give you"," he was- and she was also a darling. Ah, she would give the devil to you",-135.25648754,-145.20333707,-101.6907177,-107.35550575999999,-99.60486364000002,-92.56788680000001
498,dat-0508,D, . But my teacher seemed to think that it wouldn 't give me enough time to be doing my own thing. And, . But my teacher seemed to think that it wouldn 't give me enough time to be doing my own thing. And, . But my teacher seemed to think that it wouldn 't give me enough time, . But my teacher seemed to think that it wouldn 't give enough time to me to be doing my own thing. And, . But my teacher seemed to think that it wouldn 't give enough time, . But my teacher seemed to think that it wouldn 't give me, . But my teacher seemed to think that it wouldn 't give enough time to me,-110.90093693000001,-119.17359726000001,-88.56740216000001,-97.43135516000001,-89.74992456,-84.01438657999998
499,dat-0509,D," , which I'm mad at myself now that I haven't, but gives me another excuse to go back. But in university"," , which I'm mad at myself now that I haven't, but gives me another excuse to go back. But in university"," , which I'm mad at myself now that I haven't, but gives me another excuse"," , which I'm mad at myself now that I haven't, but gives another excuse to me to go back. But in university"," , which I'm mad at myself now that I haven't, but gives another excuse"," , which I'm mad at myself now that I haven't, but gives me"," , which I'm mad at myself now that I haven't, but gives another excuse to me",-118.10611558279996,-131.23266920549997,-95.62968810529999,-108.4275883528,-99.7886002985,-89.934148522
500,dat-0510,D," 1> Yeah, I guess that's how they say it is like, Give me my bag. But for me, I have to like, move my m"," 1> Yeah, I guess that's how they say it is like, Give me my bag. But for me, I have to like, move my m"," 1> Yeah, I guess that's how they say it is like, Give me my bag"," 1> Yeah, I guess that's how they say it is like, Give my bag to me. But for me, I have to like, move my m"," 1> Yeah, I guess that's how they say it is like, Give my bag"," 1> Yeah, I guess that's how they say it is like, Give me"," 1> Yeah, I guess that's how they say it is like, Give my bag to me",-144.61146064000002,-149.47415446000002,-104.29929867000001,-111.00947723,-107.66399030000001,-95.92750089000002
501,dat-0511,D," wasn't in a lease over there, but- but ah, we just gave them our notice and then- I-think- I-think it's l"," wasn't in a lease over there, but- but ah, we just gave them our notice and then- I-think- I-think it's l"," wasn't in a lease over there, but- but ah, we just gave them our notice"," wasn't in a lease over there, but- but ah, we just gave our notice to them and then- I-think- I-think it's l"," wasn't in a lease over there, but- but ah, we just gave our notice"," wasn't in a lease over there, but- but ah, we just gave them"," wasn't in a lease over there, but- but ah, we just gave our notice to them",-152.11895443,-153.34297477,-103.26767968000001,-104.83738028999997,-99.43457330000001,-94.09553703999998
502,dat-0512,D, tupid. </004> <1> Why? </1> <004> 'Cause they just give you the cup and you have to fill it up yourself., tupid. </004> <1> Why? </1> <004> 'Cause they just give you the cup and you have to fill it up yourself., tupid. </004> <1> Why? </1> <004> 'Cause they just give you the cup, tupid. </004> <1> Why? </1> <004> 'Cause they just give the cup to you and you have to fill it up yourself., tupid. </004> <1> Why? </1> <004> 'Cause they just give the cup, tupid. </004> <1> Why? </1> <004> 'Cause they just give you, tupid. </004> <1> Why? </1> <004> 'Cause they just give the cup to you,-142.79888182799996,-146.70692530270006,-131.912725381,-134.66710703,-131.6495563807,-122.43446864699999
503,dat-0513,D," nk it does. Um, I think in some ways it's- ah, it gives you an out to peer pressure because ah, you-know"," nk it does. Um, I think in some ways it's- ah, it gives you an out to peer pressure because ah, you-know"," nk it does. Um, I think in some ways it's- ah, it gives you an out"," nk it does. Um, I think in some ways it's- ah, it gives an out to you to peer pressure because ah, you-know"," nk it does. Um, I think in some ways it's- ah, it gives an out"," nk it does. Um, I think in some ways it's- ah, it gives you"," nk it does. Um, I think in some ways it's- ah, it gives an out to you",-139.04068840000002,-150.34128178,-104.60083418,-114.0898485,-106.69636543000001,-96.52808598
505,dat-0515,D," d you're like shaking, right (inc). But it totally gives you the shakes the next day. </007> <1> Right. </"," d you're like shaking, right (inc). But it totally gives you the shakes the next day. </007> <1> Right. </"," d you're like shaking, right (inc). But it totally gives you the shakes"," d you're like shaking, right (inc). But it totally gives the shakes to you the next day. </007> <1> Right. </"," d you're like shaking, right (inc). But it totally gives the shakes"," d you're like shaking, right (inc). But it totally gives you"," d you're like shaking, right (inc). But it totally gives the shakes to you",-174.07886514999998,-186.61143312999994,-120.13107257,-130.53532389999998,-125.68682760000002,-113.39613875
506,dat-0516,D, ike it was pretty fun you-know because they'd just give you one line to say so basically you just have to, ike it was pretty fun you-know because they'd just give you one line to say so basically you just have to, ike it was pretty fun you-know because they'd just give you one line, ike it was pretty fun you-know because they'd just give one line to you to say so basically you just have to, ike it was pretty fun you-know because they'd just give one line, ike it was pretty fun you-know because they'd just give you, ike it was pretty fun you-know because they'd just give one line to you,-112.11996806399998,-121.23294195000001,-95.55727265,-103.28769539999999,-98.3143102,-88.17707234999997
507,dat-0517,D," h that's so (inc). </1> <010> Yeah, and then they give him big tips. </010> <1> (laughs) Yeah. </1> <0"," h that's so (inc). </1> <010> Yeah, and then they give him big tips. </010> <1> (laughs) Yeah. </1> <0"," h that's so (inc). </1> <010> Yeah, and then they give him big tips"," h that's so (inc). </1> <010> Yeah, and then they give big tips to him. </010> <1> (laughs) Yeah. </1> <0"," h that's so (inc). </1> <010> Yeah, and then they give big tips"," h that's so (inc). </1> <010> Yeah, and then they give him"," h that's so (inc). </1> <010> Yeah, and then they give big tips to him",-178.49588123430001,-183.69354444240003,-147.97021018999993,-152.36644370000002,-144.65758438999995,-134.58651319
508,dat-0518,D, me too because I was used to- you-know we used to give seniors a discount or if you didn't have dental i, me too because I was used to- you-know we used to give seniors a discount or if you didn't have dental i, me too because I was used to- you-know we used to give seniors a discount, me too because I was used to- you-know we used to give a discount to seniors or if you didn't have dental i, me too because I was used to- you-know we used to give a discount, me too because I was used to- you-know we used to give seniors, me too because I was used to- you-know we used to give a discount to seniors,-135.721733841,-134.97608076,-104.70948443500001,-105.961522346,-100.14145683,-100.13851849400001
509,dat-0519,D," you break a five like I need bus money?"" I'll just give them a toonie, like if I don't have the change li"," you break a five like I need bus money?"" I'll just give them a toonie, like if I don't have the change li"," you break a five like I need bus money?"" I'll just give them a toonie"," you break a five like I need bus money?"" I'll just give a toonie to them, like if I don't have the change li"," you break a five like I need bus money?"" I'll just give a toonie"," you break a five like I need bus money?"" I'll just give them"," you break a five like I need bus money?"" I'll just give a toonie to them",-148.44505920599997,-157.00904733,-114.021624574,-121.98248306000002,-116.59122847000002,-102.99720519999997
510,dat-0520,D," -P-R man too, but he got himself hurt and ah, they give him his pension and let him go out. </013> <1> Ok"," -P-R man too, but he got himself hurt and ah, they give him his pension and let him go out. </013> <1> Ok"," -P-R man too, but he got himself hurt and ah, they give him his pension"," -P-R man too, but he got himself hurt and ah, they give his pension to him and let him go out. </013> <1> Ok"," -P-R man too, but he got himself hurt and ah, they give his pension"," -P-R man too, but he got himself hurt and ah, they give him"," -P-R man too, but he got himself hurt and ah, they give his pension to him",-169.20838539399995,-179.95646021999997,-112.4478862,-120.1191997,-116.09440185,-105.66151369
511,dat-0521,D, had my shirt and t-shirt tore off me. So once they give him a needle he- he was calmed right down then th, had my shirt and t-shirt tore off me. So once they give him a needle he- he was calmed right down then th, had my shirt and t-shirt tore off me. So once they give him a needle, had my shirt and t-shirt tore off me. So once they give a needle to him he- he was calmed right down then th, had my shirt and t-shirt tore off me. So once they give a needle, had my shirt and t-shirt tore off me. So once they give him, had my shirt and t-shirt tore off me. So once they give a needle to him,-149.996977055,-157.91671626400003,-107.15809331000001,-114.71906293199999,-108.20828640199998,-96.89274752000003
512,dat-0522,D," that quick. Two big guys to hold him down, one to give him a needle, 'cause he- when he flipped out they"," that quick. Two big guys to hold him down, one to give him a needle, 'cause he- when he flipped out they"," that quick. Two big guys to hold him down, one to give him a needle"," that quick. Two big guys to hold him down, one to give a needle to him, 'cause he- when he flipped out they"," that quick. Two big guys to hold him down, one to give a needle"," that quick. Two big guys to hold him down, one to give him"," that quick. Two big guys to hold him down, one to give a needle to him",-129.93740883,-135.42119138,-91.88537174,-97.66198964,-93.95652297000001,-86.52166891000003
513,dat-0523,D, n our driveways and just park and walk in. One guy gave me the finger. </014> <1> Really? </1> <014> Oh y, n our driveways and just park and walk in. One guy gave me the finger. </014> <1> Really? </1> <014> Oh y, n our driveways and just park and walk in. One guy gave me the finger, n our driveways and just park and walk in. One guy gave the finger to me. </014> <1> Really? </1> <014> Oh y, n our driveways and just park and walk in. One guy gave the finger, n our driveways and just park and walk in. One guy gave me, n our driveways and just park and walk in. One guy gave the finger to me,-168.41272655500003,-173.96603806600007,-100.64740549999999,-106.0257698,-102.8325117,-96.06532724
514,dat-0524,D, kind-of person you seemed like they like tried to give you a role that matched your character. So like i, kind-of person you seemed like they like tried to give you a role that matched your character. So like i, kind-of person you seemed like they like tried to give you a role, kind-of person you seemed like they like tried to give a role to you that matched your character. So like i, kind-of person you seemed like they like tried to give a role, kind-of person you seemed like they like tried to give you, kind-of person you seemed like they like tried to give a role to you,-122.58042561,-129.2659424,-95.33538276000002,-101.06093390000001,-97.53806982,-87.65239910999999
515,dat-0525,D, customers- we had to call all of our customers and give them the pager if they had phone service. If they, customers- we had to call all of our customers and give them the pager if they had phone service. If they, customers- we had to call all of our customers and give them the pager, customers- we had to call all of our customers and give the pager to them if they had phone service. If they, customers- we had to call all of our customers and give the pager, customers- we had to call all of our customers and give them, customers- we had to call all of our customers and give the pager to them,-105.66755722,-110.10759569,-82.527702015,-88.89633,-85.68061093999998,-68.77369283999998
516,dat-0526,D," it in there and we'd say ""Number please"" and she'd give us a number. There were two- two rows. We'd take"," it in there and we'd say ""Number please"" and she'd give us a number. There were two- two rows. We'd take"," it in there and we'd say ""Number please"" and she'd give us a number"," it in there and we'd say ""Number please"" and she'd give a number to us. There were two- two rows. We'd take"," it in there and we'd say ""Number please"" and she'd give a number"," it in there and we'd say ""Number please"" and she'd give us"," it in there and we'd say ""Number please"" and she'd give a number to us",-123.84579044,-133.04193478000002,-86.43654671,-95.31089046999998,-88.37269398500003,-85.19484822999999
517,dat-0527,D," t are people that ah, their parents have money and given them their inheritance before they died, so it's"," t are people that ah, their parents have money and given them their inheritance before they died, so it's"," t are people that ah, their parents have money and given them their inheritance"," t are people that ah, their parents have money and given their inheritance to them before they died, so it's"," t are people that ah, their parents have money and given their inheritance"," t are people that ah, their parents have money and given them"," t are people that ah, their parents have money and given their inheritance to them",-113.65504414999998,-118.45717221000001,-99.71198414999999,-104.73346229999999,-102.3937673,-91.14084010000002
518,dat-0528,D," I've gone and I remember the little girls that gave me this plant. And actually Scott-Mathers, he's t"," I've gone and I remember the little girls that gave me this plant. And actually Scott-Mathers, he's t", I've gone and I remember the little girls that gave me this plant," I've gone and I remember the little girls that gave this plant to me. And actually Scott-Mathers, he's t", I've gone and I remember the little girls that gave this plant, I've gone and I remember the little girls that gave me, I've gone and I remember the little girls that gave this plant to me,-147.7081987,-150.38725942000002,-87.26920113999999,-90.11953215,-89.291254,-76.05147946999999
519,dat-0529,D," to do one from the box. But you figure, okay, you give the guys the box, break an egg, you put some wate"," to do one from the box. But you figure, okay, you give the guys the box, break an egg, you put some wate"," to do one from the box. But you figure, okay, you give the guys the box"," to do one from the box. But you figure, okay, you give the box to the guys, break an egg, you put some wate"," to do one from the box. But you figure, okay, you give the box"," to do one from the box. But you figure, okay, you give the guys"," to do one from the box. But you figure, okay, you give the box to the guys",-148.75530969000002,-148.70089929000002,-104.39466513,-104.23376117000002,-96.79741744999998,-97.78395845
520,dat-0530,D," rry there's nothing left we have for you, we can't give you anything else."" And they- so I said ""Okay,"," rry there's nothing left we have for you, we can't give you anything else."" And they- so I said ""Okay,"," rry there's nothing left we have for you, we can't give you anything else"," rry there's nothing left we have for you, we can't give anything else to you."" And they- so I said ""Okay,"," rry there's nothing left we have for you, we can't give anything else"," rry there's nothing left we have for you, we can't give you"," rry there's nothing left we have for you, we can't give anything else to you",-123.63600216000002,-128.57383085999996,-90.55827971999997,-95.27589863999997,-92.97797485,-87.44625182
521,dat-0531,D," built them himself. And then, I practically just gave him my fighter jet and like. [2] Really? [04]"," built them himself. And then, I practically just gave him my fighter jet and like. [2] Really? [04]"," built them himself. And then, I practically just gave him my fighter jet"," built them himself. And then, I practically just gave my fighter jet to him and like. [2] Really? [04]"," built them himself. And then, I practically just gave my fighter jet"," built them himself. And then, I practically just gave him"," built them himself. And then, I practically just gave my fighter jet to him",-150.37700549999997,-155.0856118,-99.99652973999999,-103.13740953999998,-99.76014423000001,-81.43162659999999
522,dat-0532,D," Course your friends wouldnt give you work. They give you like, fun stuff. [2] What was the best birt"," Course your friends wouldnt give you work. They give you like, fun stuff. [2] What was the best birt"," Course your friends wouldnt give you work. They give you like, fun stuff"," Course your friends wouldnt give you work. They give like, fun stuff to you. [2] What was the best birt"," Course your friends wouldnt give you work. They give like, fun stuff", Course your friends wouldnt give you work. They give you," Course your friends wouldnt give you work. They give like, fun stuff to you",-157.079274226,-164.348392899,-115.92497688799999,-123.75382768799997,-119.35118354699999,-96.971690541
523,dat-0533,D," en if it's like, dividing by decimals, they- they give you real hard questions they- they, get every pos"," en if it's like, dividing by decimals, they- they give you real hard questions they- they, get every pos"," en if it's like, dividing by decimals, they- they give you real hard questions"," en if it's like, dividing by decimals, they- they give real hard questions to you they- they, get every pos"," en if it's like, dividing by decimals, they- they give real hard questions"," en if it's like, dividing by decimals, they- they give you"," en if it's like, dividing by decimals, they- they give real hard questions to you",-154.440854771,-163.5309540266,-114.45535317110001,-123.7417423011,-117.3135019798,-98.56710197079997
524,dat-0534,D," , I want to buy him, not my mom- I want my mom to give me all the money so I can buy it for him. Um, he"," , I want to buy him, not my mom- I want my mom to give me all the money so I can buy it for him. Um, he"," , I want to buy him, not my mom- I want my mom to give me all the money"," , I want to buy him, not my mom- I want my mom to give all the money to me so I can buy it for him. Um, he"," , I want to buy him, not my mom- I want my mom to give all the money"," , I want to buy him, not my mom- I want my mom to give me"," , I want to buy him, not my mom- I want my mom to give all the money to me",-120.51837275999998,-123.58462820999998,-99.69560648,-102.23785390000002,-101.18105284999999,-93.50327878000002
525,dat-0535,D," s tell us weird stories and stuff as she was giving us milk and stuff. How bout you, she ever tell"," s tell us weird stories and stuff as she was giving us milk and stuff. How bout you, she ever tell", s tell us weird stories and stuff as she was giving us milk and stuff," s tell us weird stories and stuff as she was giving milk and stuff to us. How bout you, she ever tell", s tell us weird stories and stuff as she was giving milk and stuff, s tell us weird stories and stuff as she was giving us, s tell us weird stories and stuff as she was giving milk and stuff to us,-144.619109363,-150.739854269,-93.95947858,-101.08497300000003,-97.48395860000002,-85.91490843
527,dat-0537,D," Christmas party he gave us Christmas presents. He gave us a sled, candy. [2] Wow, that's awesome man."," Christmas party he gave us Christmas presents. He gave us a sled, candy. [2] Wow, that's awesome man.", Christmas party he gave us Christmas presents," Christmas party he gave Christmas presents to us. He gave us a sled, candy. [2] Wow, that's awesome man.", Christmas party he gave Christmas presents, Christmas party he gave us, Christmas party he gave Christmas presents to us,-120.92581426,-126.59670902999999,-60.988417999999996,-67.33062326999999,-62.054590399999995,-53.57680830000001
529,dat-0539,D," r'z office and asks him for a sperm count. Doctor gives him an empty jar and says, You bring this back"," r'z office and asks him for a sperm count. Doctor gives him an empty jar and says, You bring this back", r'z office and asks him for a sperm count. Doctor gives him an empty jar," r'z office and asks him for a sperm count. Doctor gives an empty jar to him and says, You bring this back", r'z office and asks him for a sperm count. Doctor gives an empty jar, r'z office and asks him for a sperm count. Doctor gives him, r'z office and asks him for a sperm count. Doctor gives an empty jar to him,-139.6060453,-146.57825271,-109.30832960000001,-116.9856251,-111.57720220000002,-99.95006810000002
530,dat-0540,D," accustomed to be hungry? [019] You do. When you give a man a million dollars, he'll feel good for a c"," accustomed to be hungry? [019] You do. When you give a man a million dollars, he'll feel good for a c", accustomed to be hungry? [019] You do. When you give a man a million dollars," accustomed to be hungry? [019] You do. When you give a million dollars to a man, he'll feel good for a c", accustomed to be hungry? [019] You do. When you give a million dollars, accustomed to be hungry? [019] You do. When you give a man, accustomed to be hungry? [019] You do. When you give a million dollars to a man,-133.47562814,-137.56774195,-105.41714773,-110.19594342999999,-105.2725011,-99.77086748999999
